DateTime,Open,High,Low,Close,Ticks(from bar),Volume(from bar),Goose Zones_MA Line,Goose Zones_Upper Keltner,Goose Zones_Lower Keltner,Goose Zones_Short Trigger,Goose Zones_Top of Range,Goose Zones_Long Trigger,Goose Zones_Bottom of Range,Goose Zones_Arrow Marker,
4/11/2024 3:00:00 PM -06:00,38726,38764,38719,38754,4441,5085,39210.1600489913,39989.4702580771,38430.8498399056,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 5:00:00 PM -06:00,38756,38783,38744,38778,886,958,39205.8599490014,39981.1023948126,38430.6175031901,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 6:00:00 PM -06:00,38779,38782,38744,38769,982,1033,39201.5130838372,39972.6337142672,38430.3924534071,38964.625,39172.25,38549.375,38341.75,,
4/11/2024 7:00:00 PM -06:00,38771,38780,38740,38774,681,714,39197.2592223064,39964.48810517,38430.0303394428,38844.2,38956.4,38619.8,38507.6,,
4/11/2024 8:00:00 PM -06:00,38774,38779,38757,38776,676,696,39193.0675882536,39954.7419548698,38431.3932216374,38844.2,38956.4,38619.8,38507.6,,
4/11/2024 9:00:00 PM -06:00,38776,38776,38762,38767,309,340,39188.8281097636,39944.2470100453,38433.4092094818,38844.2,38956.4,38619.8,38507.6,,
4/11/2024 10:00:00 PM -06:00,38766,38784,38760,38763,384,392,39184.591014144,39934.7619651692,38434.4200631188,38844.2,38956.4,38619.8,38507.6,,
4/11/2024 11:00:00 PM -06:00,38761,38776,38758,38766,467,541,39180.4259294262,39924.8339854163,38436.0178734361,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 12:00:00 AM -06:00,38767,38777,38760,38763,652,696,39176.2724375911,39914.8804134221,38437.6644617601,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 1:00:00 AM -06:00,38763,38797,38754,38781,1697,1864,39172.3393785106,39907.6626978656,38437.0160591555,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 2:00:00 AM -06:00,38782,38820,38777,38816,3551,3776,39168.7937130528,39900.8650590809,38436.7223670246,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 3:00:00 AM -06:00,38815,38836,38768,38784,3577,3756,39164.964919888,39896.1798346124,38433.7500051637,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 4:00:00 AM -06:00,38784,38795,38751,38762,2072,2186,39160.9553186951,39889.0536671039,38432.8569702864,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 5:00:00 AM -06:00,38763,38770,38578,38618,7804,8728,39155.5527782106,39894.555620665,38416.5499357562,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 6:00:00 AM -06:00,38618,38688,38583,38668,5102,5568,39150.7015067856,39892.2764602604,38409.1265533109,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 7:00:00 AM -06:00,38666,38689,38457,38460,7391,8264,39143.8288549768,39899.9553014518,38387.7024085018,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 8:00:00 AM -06:00,38459,38556,38388,38520,25743,27741,39137.6216026885,39902.1049999448,38373.1382054321,38844.2,38956.4,38619.8,38507.6,,
